username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"TariqSiddiqi","2018-08-01-15:15",0,0,0,"A woman climbed the base of the Statue of Liberty on the Fourth of July to protest migrant family separations https://www.cnn.com/2018/07/04/us/new-york-statue-of-liberty-protest/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fcnn_topstories+%28RSS%3A+CNN+-+Top+Stories%29 …","","","","1024735294606766081","","","https://twitter.com/TariqSiddiqi/status/1024735294606766081",""
"romulooodiaz","2018-07-23-23:40",0,1,1,"Therese Patricia Okoumou, a Black woman just climbed the Statue of Liberty a few weeks ago to protest the separation of migrant families and calling for the abolishment of ICE. https://twitter.com/sweettswishass/status/1021488706786664448 …","","","","1021601040481837066","","","https://twitter.com/romulooodiaz/status/1021601040481837066",""
"amanewsnow","2018-07-13-11:35",0,0,0,"A woman climbed the base of the Statue of Liberty on the Fourth of July to protest migrant family separations https://viralnews3.co.network/travel/a-woman-climbed-the-base-of-the-statue-of-liberty-on-the-fourth-of-july-to-protest-migrant-family-separations/ …pic.twitter.com/F1guMWfRx1","","","","1017794685308428290","","","https://twitter.com/amanewsnow/status/1017794685308428290","https://pbs.twimg.com/media/Dh_u30UUwAEDPBQ.jpg"
"nomadtrice","2018-07-12-07:53",0,0,0,"A woman climbed the base of the Statue of Liberty on the Fourth of July to protest migrant family separations @ CNN https://cnn.it/2z7h9CN","","@ CNN","","1017376522645078016","","","https://twitter.com/nomadtrice/status/1017376522645078016",""
"KineticLotus","2018-07-12-03:08",0,0,0,"A Woman climbed the base of the Statue of Liberty on the Fourth of July to protest migrant family separations. https://www.cnn.com/2018/07/04/us/new-york-statue-of-liberty-protest/index.html …","","","","1017304623802007552","","","https://twitter.com/KineticLotus/status/1017304623802007552",""
"piratefreq_","2018-07-11-10:02",0,0,0,"A woman climbed the base of the Statue of Liberty on the Fourth of July to protest migrant family separations @ CNNI https://cnn.it/2z7MkxC","","@ CNNI","","1017046512998731776","","","https://twitter.com/piratefreq_/status/1017046512998731776",""
"MAswad","2018-07-10-18:13",0,0,0,"A woman climbed the base of the Statue of Liberty on the Fourth of July to protest migrant family separations @ CNN https://cnn.it/2z7h9CN","","@ CNN","","1016807658513412097","","","https://twitter.com/MAswad/status/1016807658513412097",""
"CampfireInnov","2018-07-09-13:14",0,0,0,"On July 4th, Therese Patricia Okoumou climbed the base of the Statue of Liberty in New York, to protest against the separation and detention of thousands of migrant children in the United States. Find out more: http://www.businessinsider.com/therese-patricia-okoumou-immigration-protest-at-statue-of-liberty-july-4th-2018-7 …","","","","1016369919758237698","","","https://twitter.com/CampfireInnov/status/1016369919758237698",""
"Jcolon3256","2018-07-09-13:09",0,0,1,"# Repost @ cnn A woman climbed up to the robes of the Statue of Liberty to protest the separation of migrant families on the Fourth of July. pic.twitter.com/m7NXWbqVnC","","@ cnn","# Repost","1016368695860518913","","","https://twitter.com/Jcolon3256/status/1016368695860518913","https://pbs.twimg.com/profile_images/998364461638471680/SkAuNYT__normal.jpg"
"twobaskets","2018-07-09-10:18",0,0,0,"Retweeted The Root ( @ TheRoot): Therese Patricia Okoumou climbed the Statue of Liberty to protest the separation of migrant children from their families—but what's that got to do with black folks? pic.twitter.com/7Xd2JXAvFY","","@ TheRoot","","1016325710355615746","","","https://twitter.com/twobaskets/status/1016325710355615746",""
"AmGovUntapped","2018-07-09-08:30",0,0,0,"A woman climbed the base of the Statue of Liberty on the Fourth of July to protest migrant family separations. # AmGov # PoliSci # Civics # Protest https://cnn.it/2IZwNj4 pic.twitter.com/XrrDVEeKEu","","","# AmGov # PoliSci # Civics # Protest","1016298625440370688","","","https://twitter.com/AmGovUntapped/status/1016298625440370688","https://pbs.twimg.com/media/DhqeNpIX4AAdPso.jpg"
