username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"ARL2222","2018-08-08-17:07",0,3,1,"Trump has to look good one way or the other. He imposed tariffs, then pretended he'll help the farmers (forgetting about the rest of businesses & projects that suffered). Trump hated CA, now uses this excuse to show off as helpful & Sincere.","","","","1027300347495120896","1027298896987545605","ABC","https://twitter.com/ARL2222/status/1027300347495120896",""
"tucker08087","2018-08-08-16:49",0,0,2,"I’m hoping Trump will help them out like he’s doing with the farmers. HD IS AMERICAN. They know it, he knows it. He kind of put them in a bad spot, with the tariffs, and a lot of bikers DO support him, so he might find a way to solve the issue.","","","","1027295704409169921","1027214330503352320","dm_mosier DeepStateExpose realDonaldTrump","https://twitter.com/tucker08087/status/1027295704409169921",""
"PiggyShitCock","2018-08-08-15:44",0,1,1,"These brain dead supporters don’t believe the truth even when they, themselves, are affected by Trump’s shit policies. Did you see that farmer saying he sees the economic hard from the tariffs as his time to sacrifice to help Trump’s agenda? Insanity pic.twitter.com/4Ww617BLBj","","","","1027279297197686784","1026884929643270144","humgbrd111 chenx064","https://twitter.com/PiggyShitCock/status/1027279297197686784",""
"ablondemoment35","2018-08-08-15:23",0,2,0,"https://www.nbcnews.com/think/opinion/trump-s-trade-war-bailout-could-force-u-s-borrow-ncna894631 … @ realDonaldTrump So to help the farmers that your tariffs are hurting, means you need to borrow money from # China to pay the farmers. The same country you are fighting with. # TradeWar","","@ realDonaldTrump","# China # TradeWar","1027274026983608321","","","https://twitter.com/ablondemoment35/status/1027274026983608321",""
"RevDavidPSmith","2018-08-08-15:20",0,1,0,"Yes he loves that corporate government welfare just don’t help the actual poor, our taxes need to bail out the rich and cover up for trump screwing farmers on tariffs, of course if trump screws you your entitled to your 130k seeing that’s most of the country where is my check?","","","","1027273416888516608","1027206897789796352","MollyJongFast guypbenson benshapiro","https://twitter.com/RevDavidPSmith/status/1027273416888516608",""
"RobbiepMalachi","2018-08-08-13:17",0,0,0,"What cripples the people that need the help is saying that we cannot afford it while giving $12 Billion to farmers hurt by Trump’s Tariffs(less than 1% of farmers are considered small family farms so we just gifted $12 Billion to rich agribusiness.) but yeah let the Poors starve","","","","1027242486773755909","1026983784758038529","redpace30 RealJamesWoods","https://twitter.com/RobbiepMalachi/status/1027242486773755909",""
"Sir_random_here","2018-08-08-10:53",0,2,0,"Hey @ realDonaldTrump A little help? I figure that if you cut the golfing trips, avoid spending the 'bailout money' to the farmers due to poor trading decisions and tariffs, surrendered to the investigation (tax $), and resigned (disgracefully), we might be good. Just a thought https://twitter.com/DebtCrisisOrg/status/1025713144751108098 …","","@ realDonaldTrump","","1027206207197642759","","","https://twitter.com/Sir_random_here/status/1027206207197642759",""
"nicolasDenver","2018-08-08-09:55",0,0,0,"farmers need handouts because of tariffs. iran got money because it was theirs. puerto rico (not texas) has gotten no help because fema supposedly has no money. fema (and other agencies) have no money because the government felt it was more important to give rich people tax cuts.","","","","1027191672751484933","1026762818773757955","alej7026244001 refluxdisease","https://twitter.com/nicolasDenver/status/1027191672751484933",""
"RebelPussy","2018-08-08-09:26",0,0,1,"Farmers here in my rural area are desperate for farm help. Entitled white boys won't do the work and the immigrants are running scared. Some may go under because of tariffs. But yeah, Trump is doing GREAT with the economy.","","","","1027184233393967105","1027152900563382272","diamondguy69 AprilDRyan","https://twitter.com/RebelPussy/status/1027184233393967105",""
"jplatt812","2018-08-07-20:05",0,0,0,"MAGA hats are made in China. MAGA flags are made in China. Trump employs MORE people in 10+ other Countries than in the US. How much are HIS tariffs helping HIS business? Tariffs have cost AMERICAN TAX Payers $12 Billion to help AMERICAN Farmers. # PutinAmerikaFirst # TaxReturnspic.twitter.com/L6gHmZLccR","","","# PutinAmerikaFirst # TaxReturnspic","1026982780478128128","","","https://twitter.com/jplatt812/status/1026982780478128128","https://pbs.twimg.com/media/DkCTZKHW4AAteK9.jpg"
"RonboSandanista","2018-08-07-18:10",0,0,0,"Yeah, a huge voting block! About 1-2% of the population! Lol. The fact is they are feeding us. I talk to many farmers, and they tell me the tariffs are hurting, short term, but they think they will help in the long run.","","","","1026953809149526017","1026495277824401408","poptart9797 DB756","https://twitter.com/RonboSandanista/status/1026953809149526017",""
"PacifiCali68","2018-08-07-17:04",0,0,0,"Trump’s tariffs are hurting farmers. Help stop the chaos and # VoteBlueForAmerica # CA01 # CA10 # CA21 # CA22 # CA23https://www.huffingtonpost.com/entry/trump-tariffs-farmers-soybeans_us_5b646da2e4b0de86f4a0c5f4?ncid=tweetlnkushpmg00000016&section=politics …","","","# VoteBlueForAmerica # CA01 # CA10 # CA21 # CA22 # CA23https","1026937048240861184","","","https://twitter.com/PacifiCali68/status/1026937048240861184",""
"mountainmama91","2018-08-07-16:56",0,0,0,"@ realDonaldTrump you going to help these people out like you did the farmers? So much for tariffs being good, dotard https://twitter.com/krassenstein/status/1026841140543115264 …","","@ realDonaldTrump","","1026935247391391745","","","https://twitter.com/mountainmama91/status/1026935247391391745",""
"ram1053","2018-08-07-16:55",0,0,0,"How about Trump STOP WASTING $ on a damn Parade or $12 million to farmers that he screwed over with tariff. Put that $ into these lower areas that need jobs reconstruction of their area. Help unwed mothers that raise these boys without fathers. GET TO THE CORE.NOT GUNS!!","","","","1026934778652577792","1026933703207993346","BillOReilly","https://twitter.com/ram1053/status/1026934778652577792",""
"DianneandDaisy","2018-08-07-16:33",0,0,0,"Article today about farmers suffering with the tariffs but they still support the moron in chief. Well, best of luck, if you fail you only have yourselves to blame. Hope the millions in relief help, actually just kidding. Better spent on health care and reuniting babies.","","","","1026929230423179266","1026075214227165185","realDonaldTrump","https://twitter.com/DianneandDaisy/status/1026929230423179266",""
